Brand,Name,Price,Delivery,Return/Exchange,Availability,Product Link
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,949","Wednesday, 28 December",7 days Replacement,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzY3MTU3Njk4MjUwMjU3OjE2NzIwMzU1OTQ6c3BfYXRmOjIwMDYxNjIwNjk2MjA0OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2WL0QRE4DVVCT%26keywords%3DGuitar%26qid%3D1672035594%26sprefix%3Dguitar%252Caps%252C410%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAM04Z7MH4HSDD
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","9,900","Thursday, 29 December",7 days Replacement,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzY3MTU3Njk4MjUwMjU3OjE2NzIwMzU1OTQ6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2WL0QRE4DVVCT%26keywords%3DGuitar%26qid%3D1672035594%26sprefix%3Dguitar%252Caps%252C410%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Blue Burst) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd","2,428","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzY3MTU3Njk4MjUwMjU3OjE2NzIwMzU1OTQ6c3BfYXRmOjIwMTAyODQxMTY0OTk4OjowOjo&url=%2FMedellin-Acoustic-Guitar-Carbon-Learning%2Fdp%2FB09MSGMQ3Y%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2WL0QRE4DVVCT%26keywords%3DGuitar%26qid%3D1672035594%26sprefix%3Dguitar%252Caps%252C410%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAM04Z7MH4HSDD
Medellin,"Medellin 38"" Acoustic Guitar premium wood with adjustable Truss-rod, free online learning course, Set Of Strings, Strap, Bag and 3 Picks (Black Truss Rod)","2,398","Thursday, 29 December",7 days Returnable,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzY3MTU3Njk4MjUwMjU3OjE2NzIwMzU1OTQ6c3BfYXRmOjIwMTAyODQxMTY0NTk4OjowOjo&url=%2FMedellin-Acoustic-adjustable-Truss-rod-learning%2Fdp%2FB0BMKHTNX1%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2WL0QRE4DVVCT%26keywords%3DGuitar%26qid%3D1672035594%26sprefix%3Dguitar%252Caps%252C410%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Juârez,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,149","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-5
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","2,299","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-6
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,399","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_7?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-7
Intern,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),"2,099","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_8?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-8
JUAREZ,"Juarez Lindenwood Acoustic Guitar, 38 Inches Curved Body Cutaway, 38CUR With Bag, Strings, Pick And Strap (Black)","2,444","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_9?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-9
HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,480","Sunday, 1 January",7 days Replacement,In stock.,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_10?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-10
