Brand,Name,RAM,ROM,Display,Camera,Battery Capacity,Colour,Price,Product Link
OnePlus,"OnePlus Nord CE 2 Lite (Black Dusk, 128 MB)  (6 GB RAM)",6 GB RAM , 128 MB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Black Dusk,"₹19,884",https://www.flipkart.com/oneplus-nord-ce-2-lite-black-dusk-128-mb/p/itmc3961887c27f5?pid=MOBGHGZZMGGHZ4FG&lid=LSTMOBGHGZZMGGHZ4FGDRVAVH&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGHGZZMGGHZ4FG.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Blue Tide,"₹19,934",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGKGRADDHG3PN4&lid=LSTMOBGKGRADDHG3PN4F0E5B2&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGKGRADDHG3PN4.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Blue Tide,"₹19,990",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHHJE55ARU&lid=LSTMOBGJMUHHJE55ARUXDRZAH&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGJMUHHJE55ARU.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Blue Tide,"₹19,950",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm853d95cf27843?pid=MOBGG6SGBYXGNYMH&lid=LSTMOBGG6SGBYXGNYMHJ0FWCO&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGG6SGBYXGNYMH.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Black Dusk,"₹19,890",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG6IAYVEP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) HD+ Display,64MP Rear Camera | 16MP Front Camera,5000 mAh Battery,Blue Tide,"₹19,998",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGPENW6IO&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Black Dusk,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHBTHF8HPM&lid=LSTMOBGJMUHBTHF8HPM1XIALP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGJMUHBTHF8HPM.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus NORD 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Shadow,"₹28,970",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm5c5ec409d5503?pid=MOBGK2GFBYAQUDKR&lid=LSTMOBGK2GFBYAQUDKR0GEH00&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGK2GFBYAQUDKR.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,Bahama Blue,"₹24,998",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGDBYGG6PPNFD9&lid=LSTMOBGDBYGG6PPNFD9C2SSDV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDBYGG6PPNFD9.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 5G (Charcoal Ink, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,Charcoal Ink,"₹20,899",https://www.flipkart.com/oneplus-nord-ce-5g-charcoal-ink-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM46BMYENNJN&lid=LSTMOBGDM46BMYENNJNAQJV5A&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDM46BMYENNJN.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (PAC-MAN, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,PAC-MAN,"₹37,990",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmc88e4a702db46?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTQWAYZF&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Sierra,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-256-gb/p/itmc88e4a702db46?pid=MOBGDBFRAPSY7GFZ&lid=LSTMOBGDBFRAPSY7GFZNE2WJN&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDBFRAPSY7GFZ.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (Green Wood, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Green Wood,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-green-wood-256-gb/p/itmc88e4a702db46?pid=MOBGE7D9U2RVQPH7&lid=LSTMOBGE7D9U2RVQPH7SYU8PJ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGE7D9U2RVQPH7.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Black Dusk,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itmbf614aea78882?pid=MOBGH54YTDAJBZSR&lid=LSTMOBGH54YTDAJBZSRZD2SSQ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGH54YTDAJBZSR.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
